iter	Passed	Remaining
0	0	81
1	1	82
2	2	78
3	3	73
4	3	71
5	4	70
6	5	69
7	5	67
8	6	69
9	7	68
10	8	69
11	9	69
12	10	69
13	11	69
14	12	70
15	13	69
16	14	69
17	15	68
18	15	67
19	16	65
20	17	64
21	18	64
22	18	62
23	19	61
24	20	60
25	21	59
26	21	59
27	22	58
28	23	57
29	24	56
30	25	55
31	25	55
32	26	54
33	27	54
34	28	53
35	29	52
36	30	52
37	31	51
38	32	50
39	33	50
40	34	49
41	34	47
42	35	46
43	36	46
44	36	45
45	37	44
46	38	43
47	39	42
48	39	41
49	40	40
50	41	39
51	42	38
52	42	38
53	43	37
54	44	36
55	44	35
56	45	34
57	46	33
58	46	32
59	47	31
60	48	30
61	49	30
62	49	29
63	50	28
64	51	27
65	52	26
66	53	26
67	54	25
68	54	24
69	55	23
70	56	23
71	57	22
72	57	21
73	58	20
74	59	19
75	60	19
76	60	18
77	61	17
78	62	16
79	63	15
80	63	15
81	64	14
82	65	13
83	66	12
84	66	11
85	67	11
86	68	10
87	69	9
88	69	8
89	70	7
90	71	7
91	72	6
92	72	5
93	73	4
94	74	3
95	74	3
96	75	2
97	76	1
98	77	0
99	77	0
