iter	Passed	Remaining
0	0	776
1	1	680
2	1	618
3	2	601
4	2	581
5	3	564
6	3	558
7	4	551
8	4	541
9	5	542
10	6	540
11	6	537
12	7	537
13	7	538
14	8	535
15	8	531
16	9	530
17	9	531
18	10	529
19	10	530
20	11	534
21	12	536
22	12	537
23	13	540
24	13	539
25	14	538
26	14	535
27	15	534
28	15	534
29	16	533
30	17	533
31	17	531
32	18	532
33	18	530
34	19	529
35	19	528
36	20	529
37	20	528
38	21	528
39	21	527
40	22	529
41	23	527
42	23	526
43	24	527
44	24	528
45	25	526
46	26	527
47	26	529
48	27	529
49	27	529
50	28	528
51	28	527
52	29	526
53	29	525
54	30	524
55	31	525
56	31	525
57	32	526
58	32	525
59	33	524
60	34	524
61	34	525
62	35	524
63	35	525
64	36	526
65	37	527
66	38	531
67	38	534
68	39	534
69	40	536
70	41	540
71	42	543
72	42	544
73	43	544
74	44	545
75	44	545
76	45	545
77	46	547
78	47	548
79	47	549
80	48	550
81	49	551
82	49	547
83	50	548
84	50	547
85	51	548
86	52	549
87	53	550
88	53	551
89	54	552
90	55	552
91	56	553
92	56	553
93	57	553
94	58	553
95	58	554
96	59	553
97	60	553
98	60	553
99	61	554
100	62	554
101	62	554
102	63	553
103	64	553
104	64	552
105	65	551
106	66	551
107	66	551
108	67	551
109	68	551
110	68	550
111	69	550
112	70	549
113	70	551
114	71	550
115	72	552
116	73	551
117	73	551
118	74	551
119	75	550
120	75	551
121	76	549
122	77	549
123	77	549
124	78	548
125	79	549
126	79	548
127	80	547
128	81	547
129	81	546
130	82	545
131	82	544
132	83	543
133	84	543
134	84	543
135	85	542
136	86	546
137	87	545
138	88	545
139	88	545
140	89	544
141	89	542
142	90	541
143	90	540
144	91	539
145	92	538
146	92	538
147	93	537
148	94	536
149	94	536
150	95	535
151	95	535
152	96	534
153	97	533
154	97	533
155	98	533
156	99	532
157	99	532
158	100	532
159	101	534
160	102	532
161	102	532
162	103	531
163	104	530
164	104	529
165	105	529
166	105	528
167	106	527
168	107	527
169	107	526
170	108	525
171	108	523
172	109	523
173	110	522
174	110	521
175	111	520
176	111	519
177	112	518
178	112	518
179	113	517
180	114	517
181	114	516
182	115	516
183	116	515
184	116	514
185	117	513
186	117	512
187	118	512
188	119	511
189	119	510
190	120	510
191	121	510
192	121	509
193	122	508
194	123	508
195	123	507
196	124	507
197	125	506
198	125	505
199	126	505
200	126	504
201	127	503
202	127	502
203	128	501
204	129	500
205	129	500
206	130	499
207	131	499
208	131	498
209	132	498
210	133	497
211	133	497
212	134	496
213	135	495
214	135	495
215	136	494
216	136	494
217	137	493
218	138	492
219	139	493
220	140	494
221	140	493
222	141	493
223	142	492
224	143	492
225	144	493
226	144	493
227	145	493
228	146	493
229	147	494
230	148	494
231	149	493
232	149	493
233	150	493
234	151	493
235	152	493
236	153	492
237	153	492
238	154	492
239	155	491
240	156	491
241	156	490
242	157	490
243	157	489
244	158	488
245	159	488
246	159	487
247	160	486
248	161	486
249	162	486
250	163	486
251	163	486
252	164	486
253	165	485
254	166	485
255	166	484
256	167	483
257	167	483
258	168	482
259	169	482
260	170	481
261	170	480
262	171	480
263	172	479
264	172	479
265	173	478
266	174	477
267	174	477
268	175	476
269	175	475
270	176	475
271	177	474
272	178	474
273	178	473
274	179	473
275	180	472
276	180	471
277	181	470
278	182	470
279	182	469
280	183	468
281	183	468
282	184	467
283	185	466
284	185	465
285	186	465
286	186	464
287	187	463
288	188	462
289	188	461
290	189	461
291	189	460
292	190	459
293	191	459
294	191	458
295	192	458
296	193	457
297	194	457
298	194	456
299	195	455
300	196	455
301	196	454
302	197	453
303	197	453
304	198	452
305	199	451
306	199	451
307	200	450
308	201	449
309	201	448
310	202	448
311	203	447
312	203	447
313	204	446
314	205	445
315	205	445
316	206	444
317	207	444
318	207	443
319	208	443
320	209	442
321	209	442
322	210	441
323	211	441
324	212	440
325	212	439
326	213	439
327	214	438
328	214	438
329	215	437
330	216	436
331	216	436
332	217	435
333	218	434
334	218	434
335	219	433
336	220	432
337	220	432
338	221	431
339	222	431
340	222	430
341	223	430
342	224	429
343	225	429
344	225	428
345	226	428
346	227	427
347	227	426
348	228	426
349	228	425
350	229	424
351	230	423
352	230	423
353	231	422
354	232	421
355	232	420
356	233	420
357	233	419
358	234	418
359	235	418
360	235	417
361	236	416
362	237	416
363	237	415
364	238	415
365	239	414
366	239	413
367	240	413
368	241	412
369	241	411
370	242	411
371	243	411
372	244	410
373	244	409
374	245	409
375	246	408
376	246	407
377	247	407
378	248	406
379	248	405
380	249	405
381	249	404
382	250	403
383	251	402
384	251	402
385	252	401
386	253	401
387	253	400
388	254	399
389	255	399
390	255	398
391	256	397
392	257	397
393	257	396
394	258	395
395	258	394
396	259	394
397	260	393
398	260	392
399	261	392
400	261	391
401	262	390
402	263	389
403	263	389
404	264	388
405	264	387
406	265	386
407	266	386
408	266	385
409	267	384
410	267	384
411	268	383
412	269	383
413	270	382
414	270	381
415	271	381
416	272	380
417	272	380
418	273	379
419	274	378
420	274	377
421	275	377
422	275	376
423	276	375
424	277	375
425	277	374
426	278	373
427	279	373
428	279	372
429	280	371
430	281	371
431	281	370
432	282	369
433	283	369
434	283	368
435	284	368
436	285	367
437	285	366
438	286	366
439	287	365
440	287	364
441	288	364
442	289	363
443	289	362
444	290	362
445	291	361
446	291	360
447	292	360
448	292	359
449	293	358
450	294	358
451	294	357
452	295	356
453	296	356
454	296	355
455	297	355
456	298	354
457	299	354
458	299	353
459	300	353
460	301	352
461	302	352
462	303	351
463	303	350
464	304	350
465	305	349
466	305	348
467	306	348
468	307	347
469	307	347
470	308	346
471	309	345
472	309	345
473	310	344
474	311	343
475	311	343
476	312	342
477	313	341
478	313	341
479	314	340
480	315	340
481	315	339
482	316	338
483	317	338
484	318	337
485	318	337
486	319	336
487	319	335
488	320	334
489	321	334
490	321	333
491	322	332
492	323	332
493	323	331
494	324	330
495	324	330
496	325	329
497	326	328
498	326	328
499	327	327
500	328	326
501	328	326
502	329	325
503	330	325
504	330	324
505	331	323
506	332	323
507	332	322
508	333	321
509	334	321
510	334	320
511	335	319
512	336	319
513	336	318
514	337	317
515	338	317
516	338	316
517	339	315
518	340	315
519	340	314
520	341	313
521	342	313
522	342	312
523	343	311
524	343	311
525	344	310
526	345	309
527	345	309
528	346	308
529	347	308
530	347	307
531	348	306
532	349	306
533	349	305
534	350	304
535	351	304
536	351	303
537	352	302
538	353	302
539	353	301
540	354	300
541	354	299
542	355	299
543	356	298
544	356	298
545	357	297
546	358	296
547	358	296
548	359	295
549	360	295
550	361	294
551	362	294
552	363	293
553	363	293
554	364	292
555	365	291
556	366	291
557	366	290
558	367	290
559	368	289
560	369	289
561	370	288
562	370	287
563	371	287
564	372	286
565	372	286
566	373	285
567	374	284
568	374	283
569	375	283
570	376	282
571	377	282
572	377	281
573	378	280
574	379	280
575	379	279
576	380	278
577	380	278
578	381	277
579	382	276
580	382	276
581	383	275
582	384	274
583	384	274
584	385	273
585	386	272
586	386	272
587	387	271
588	387	270
589	388	269
590	389	269
591	389	268
592	390	268
593	391	267
594	392	266
595	392	266
596	393	265
597	393	264
598	394	264
599	395	263
600	395	262
601	396	262
602	396	261
603	397	260
604	398	259
605	398	259
606	399	258
607	400	257
608	400	257
609	401	256
610	401	255
611	402	255
612	403	254
613	403	253
614	404	253
615	405	252
616	405	251
617	406	251
618	407	250
619	407	250
620	408	249
621	409	248
622	409	248
623	410	247
624	411	246
625	411	246
626	412	245
627	413	244
628	413	244
629	414	243
630	415	242
631	415	242
632	416	241
633	416	240
634	417	240
635	418	239
636	418	238
637	419	238
638	420	237
639	420	236
640	421	236
641	422	235
642	422	234
643	423	234
644	424	233
645	424	232
646	425	232
647	426	231
648	426	230
649	427	230
650	427	229
651	428	228
652	428	227
653	429	227
654	430	226
655	430	225
656	431	225
657	432	224
658	432	223
659	433	223
660	434	222
661	434	221
662	435	221
663	436	220
664	436	220
665	437	219
666	438	218
667	438	218
668	439	217
669	440	216
670	440	216
671	441	215
672	441	214
673	442	214
674	443	213
675	443	212
676	444	212
677	444	211
678	445	210
679	446	209
680	446	209
681	447	208
682	448	207
683	448	207
684	449	206
685	449	205
686	450	205
687	451	204
688	452	204
689	452	203
690	453	202
691	454	202
692	454	201
693	455	200
694	456	200
695	456	199
696	457	198
697	458	198
698	458	197
699	459	196
700	459	196
701	460	195
702	461	194
703	462	194
704	462	193
705	463	192
706	463	192
707	464	191
708	465	190
709	465	190
710	466	189
711	467	189
712	467	188
713	468	187
714	469	187
715	470	186
716	470	185
717	471	185
718	472	184
719	472	183
720	473	183
721	473	182
722	474	181
723	475	181
724	475	180
725	476	179
726	477	179
727	477	178
728	478	177
729	479	177
730	479	176
731	480	175
732	480	175
733	481	174
734	482	173
735	482	173
736	483	172
737	484	171
738	484	171
739	485	170
740	486	169
741	486	169
742	487	168
743	488	167
744	488	167
745	489	166
746	490	166
747	491	165
748	491	164
749	492	164
750	493	163
751	493	162
752	494	162
753	495	161
754	495	160
755	496	160
756	497	159
757	497	158
758	498	158
759	499	157
760	499	156
761	500	156
762	500	155
763	501	154
764	502	154
765	502	153
766	503	152
767	503	152
768	504	151
769	505	151
770	506	150
771	506	149
772	507	149
773	508	148
774	508	147
775	509	147
776	509	146
777	510	145
778	511	145
779	511	144
780	512	143
781	513	143
782	513	142
783	514	141
784	515	141
785	516	140
786	516	139
787	517	139
788	518	138
789	519	137
790	519	137
791	520	136
792	521	136
793	521	135
794	522	134
795	523	134
796	523	133
797	524	132
798	525	132
799	525	131
800	526	130
801	527	130
802	527	129
803	528	128
804	529	128
805	530	127
806	530	126
807	531	126
808	532	125
809	532	124
810	533	124
811	534	123
812	535	123
813	536	122
814	536	121
815	537	121
816	538	120
817	539	120
818	540	119
819	541	118
820	542	118
821	543	117
822	544	117
823	545	116
824	546	115
825	546	115
826	547	114
827	548	113
828	549	113
829	550	112
830	550	112
831	551	111
832	552	110
833	553	110
834	554	109
835	555	108
836	555	108
837	556	107
838	557	107
839	558	106
840	559	105
841	560	105
842	561	104
843	561	103
844	562	103
845	563	102
846	564	101
847	564	101
848	565	100
849	566	99
850	566	99
851	567	98
852	568	97
853	568	97
854	569	96
855	569	95
856	570	95
857	571	94
858	571	93
859	572	93
860	573	92
861	574	91
862	574	91
863	575	90
864	576	89
865	576	89
866	577	88
867	578	87
868	578	87
869	579	86
870	580	85
871	580	85
872	581	84
873	581	83
874	582	83
875	583	82
876	583	81
877	584	81
878	584	80
879	585	79
880	586	79
881	586	78
882	587	77
883	587	77
884	588	76
885	589	75
886	590	75
887	590	74
888	591	73
889	591	73
890	592	72
891	593	71
892	593	71
893	594	70
894	595	69
895	595	69
896	596	68
897	597	67
898	597	67
899	598	66
900	599	65
901	599	65
902	600	64
903	600	63
904	601	63
905	602	62
906	602	61
907	603	61
908	604	60
909	604	59
910	605	59
911	606	58
912	606	57
913	607	57
914	608	56
915	608	55
916	609	55
917	610	54
918	610	53
919	611	53
920	612	52
921	612	51
922	613	51
923	613	50
924	614	49
925	615	49
926	616	48
927	616	47
928	617	47
929	618	46
930	618	45
931	619	45
932	620	44
933	621	43
934	621	43
935	622	42
936	623	41
937	623	41
938	624	40
939	625	39
940	625	39
941	626	38
942	627	37
943	627	37
944	628	36
945	629	35
946	629	35
947	630	34
948	630	33
949	631	33
950	632	32
951	632	31
952	633	31
953	634	30
954	635	29
955	635	29
956	636	28
957	636	27
958	637	27
959	638	26
960	638	25
961	639	25
962	639	24
963	640	23
964	641	23
965	641	22
966	642	21
967	642	21
968	643	20
969	644	19
970	644	19
971	645	18
972	646	17
973	646	17
974	647	16
975	648	15
976	648	15
977	649	14
978	650	13
979	650	13
980	651	12
981	652	11
982	652	11
983	653	10
984	654	9
985	654	9
986	655	8
987	656	7
988	656	7
989	657	6
990	658	5
991	658	5
992	659	4
993	659	3
994	660	3
995	661	2
996	661	1
997	662	1
998	663	0
999	663	0
